car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,longitude,latitude,nearest_charger_distance_m,nearest_charger_idx,gap_category,index_right,area_name,priority_score,area_gap_rate,road_distance_m,nearest_charger_road_idx,road_path_coords
HG1C,BLK 476 UPPER SERANGOON VIEW,35850.5915,39983.2046,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,103.90386188508498,1.3778673667872103,0.004041295098236151,2561,Excellent,17,Zone 18,11.43,0.0,,,
HG1D,BLK 376 HOUGANG STREET 32,34765.7308,38421.4154,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,103.89411326609486,1.3637433814720363,0.004288744442799955,2554,Excellent,17,Zone 18,14.29,0.0,,,
HG1E,BLK 377 HOUGANG STREET 32,34832.7635,38300.6631,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.1,N,103.89471557255494,1.3626513259842494,0.004195171862572051,244,Excellent,17,Zone 18,7.14,0.0,,,
HG1F,BLK 229 HOUGANG STREET 21,33985.8567,37798.8386,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,103.8871054450445,1.3581131891083953,0.00514402571472484,108,Excellent,17,Zone 18,8.57,0.0,,,
HG10,BLK 101-108 HOUGANG AVENUE 1,34361.8201,37404.5949,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,103.89048363915774,1.3545477132592356,0.004588928414406266,1242,Excellent,17,Zone 18,0.0,0.0,,,
HG11,BLK 301-319 HOUGANG AVENUE 5,34862.2295,38666.4192,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.89498042855223,1.3659590849526215,0.00358248744625444,299,Excellent,17,Zone 18,0.0,0.0,,,
HG12,BLK 320-324 HOUGANG AVENUE 5,35216.1904,38747.8164,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.89816102897977,1.3666951274857735,0.004433466718419772,1214,Excellent,17,Zone 18,0.0,0.0,,,
HG13,BLK 325/326 HOUGANG AVENUE 7,35261.0156,38873.8796,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.89856384492994,1.3678351863527216,134.21735777886283,1214,Good,17,Zone 18,6.83,0.0,,,
HG14,"BLK 327-328,332-334,358-363 HOUGANG AVENUE 5",35023.2798,39024.5479,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.4,N,103.89642766021035,1.3691978333066008,0.0057597623429346675,316,Excellent,17,Zone 18,0.0,0.0,,,
HG15,BLK 208-210 HOUGANG STREET 21,33942.0874,37892.5664,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,103.8867121677647,1.3589608383409413,0.005560139171252023,267,Excellent,17,Zone 18,0.0,0.0,,,
HG16,BLK 211-212 HOUGANG STREET 21,34095.5904,37977.2274,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,103.88809151066687,1.3597264508362625,0.005584144163378859,2370,Excellent,17,Zone 18,0.0,0.0,,,
HG17,BLK 231/233/235/237 HOUGANG STREET 21,34080.7076,37750.4416,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.88795773278929,1.3576754848491717,0.004009367002770478,1243,Excellent,17,Zone 18,0.0,0.0,,,
HG18,BLK 230/232/234/236/238 HOUGANG AVENUE 1,34191.1758,37792.5508,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.4,N,103.88895037055629,1.3580562825007565,0.00380190097641426,2231,Excellent,17,Zone 18,0.0,0.0,,,
HG19,BLK 138-145 LORONG AH SOO,33618.2651,37216.3433,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,103.88380228416153,1.3528453827430016,0.0026000100807679494,1268,Excellent,17,Zone 18,0.0,0.0,,,
HG2,BLK 15-18 HOUGANG AVENUE 3,34533.3906,38329.9531,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,103.89202551228584,1.3629162816240896,0.00245361702363626,1276,Excellent,17,Zone 18,0.0,0.0,,,
