car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,longitude,latitude,nearest_charger_distance_m,nearest_charger_idx,gap_category,index_right,area_name,priority_score,area_gap_rate,road_distance_m,nearest_charger_road_idx,road_path_coords
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y,103.85411804993062,1.3010632720874966,0.006349524671237029,1898,Excellent,16,Zone 17,1.43,0.0,,,
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N,103.88506094761496,1.3210042901059609,0.0053981578026199885,2256,Excellent,17,Zone 18,7.14,0.0,,,
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84461988914568,1.328283495109407,0.00132147914332094,1769,Excellent,17,Zone 18,0.0,0.0,,,
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,103.83498485034055,1.36909121614356,55.27886378011542,1512,Excellent,12,Zone 13,2.81,0.0,,,
AK31,BLK 302/348 ANG MO KIO STREET 31,29482.029,38684.1754,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,103.84663563161574,1.3661204243173295,169.19357089406782,62,Good,17,Zone 18,8.61,0.0,383.4,1511.0,"[(1.3674108, 103.8448027), (1.3673652, 103.8447713), (1.3673951, 103.844728), (1.3674357, 103.8447552), (1.3688196, 103.8453691), (1.3690278, 103.845492), (1.3691478, 103.8455521), (1.3691409, 103.8456547), (1.3690926, 103.8459755), (1.3689874, 103.8468064), (1.368864, 103.8467876)]"
AK52,BLK 513 ANG MO KIO STREET 53,29889.3457,39382.8134,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,103.85029569742481,1.3724386334422467,112.92652809991837,1812,Good,17,Zone 18,5.75,0.0,,,
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,103.8483680866534,1.3835990576551445,363.0344004877253,1648,Moderate Gap,18,Zone 19,18.48,0.0,454.3,580.0,"[(1.3837854, 103.8478348), (1.3838598, 103.8478649), (1.3876377, 103.8480855), (1.3877059, 103.8480761), (1.3876929, 103.8481719)]"
AM14,BLK 227 ANG MO KIO STREET 23,28777.0707,38973.9528,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,103.84030110265202,1.3687410945550118,0.0006722704998192838,61,Excellent,17,Zone 18,8.57,0.0,,,
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,103.83571828515677,1.3703498012136124,0.0016530957618132531,2230,Excellent,12,Zone 13,2.86,0.0,,,
AM18,BLK 308C ANG MO KIO AVENUE 1,29257.6457,38619.9953,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N,103.84461939021914,1.3655400127862634,187.98262796476462,62,Good,17,Zone 18,13.85,0.0,554.5,143.0,"[(1.3647946, 103.8434947), (1.3641975, 103.8433625), (1.3640564, 103.8433225), (1.3639848, 103.8430454), (1.3641359, 103.8431048), (1.3673951, 103.844728), (1.3674357, 103.8447552)]"
AM19,BLK 260 ANG MO KIO STREET 21,28134.9305,38989.9965,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,103.83453102382205,1.3688861979339544,0.002654174069193507,1512,Excellent,12,Zone 13,8.57,0.0,,,
AM20,BLK 309B ANG MO KIO STREET 31,29421.1502,38526.8611,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,103.84608858611757,1.3646977329371188,0.003967494030447277,62,Excellent,17,Zone 18,17.14,0.0,,,
AM22,BLK 316B ANG MO KIO STREET 31,29595.2539,38514.7606,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,103.84765302635225,1.3645882914751264,0.003074348841782455,2701,Excellent,17,Zone 18,17.14,0.0,,,
AM32,BLK 255A ANG MO KIO STREET 21,28117.7689,39172.0389,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,103.8343768155432,1.3705325244610713,34.645110184378986,1818,Excellent,12,Zone 13,4.62,0.0,,,
AM43,BLK 455 ANG MO KIO STREET 44,30669.2379,38959.5487,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,103.85730354666741,1.3686107186719942,0.005579326943636757,63,Excellent,17,Zone 18,10.0,0.0,,,
AM46,BLK 588 ANG MO KIO STREET 52,30234.4145,39354.0323,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N,103.85339638441604,1.3721783233234015,0.0031136252971413294,694,Excellent,17,Zone 18,7.14,0.0,,,
AM51,BLK 700 ANG MO KIO AVENUE 6,29489.025,39103.7605,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,103.84669851649676,1.369915001718853,4.497566258026674,961,Excellent,17,Zone 18,17.37,0.0,,,
AM64,BLK 590 ANG MO KIO STREET 51,30201.236,39274.274,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,103.85309824605719,1.3714570202946914,0.005586662575012936,2229,Excellent,17,Zone 18,17.14,0.0,,,
AM79,BLK 596 ANG MO KIO STREET 52,30004.2224,39370.6063,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,103.85132794564834,1.3723282292064236,0.0060153250966300175,2702,Excellent,17,Zone 18,17.14,0.0,,,
AM80,BLK 130A ANG MO KIO STREET 12,28950.7223,39184.6976,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,103.84186149048261,1.3706469901715583,0.001518627528069786,2302,Excellent,17,Zone 18,5.71,0.0,,,
AM81,BLK 132A ANG MO KIO STREET 12,28960.3285,39294.4158,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,103.84194781252401,1.3716392420558656,7.651292733727296,1802,Excellent,17,Zone 18,6.1,0.0,,,
AM96,BLK 352A ANG MO KIO STREET 32,29961.0968,38457.9118,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,103.85094037122862,1.3640741492788215,0.0063340014446048145,1058,Excellent,17,Zone 18,17.14,0.0,,,
AR1L,3 AND 5 DOVER ROAD,22359.0217,31801.6379,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N,103.78263177920336,1.3038767185244577,143.00231151368,1763,Good,11,Zone 12,7.28,0.0,,,
AR1M,BLK 2A DOVER ROAD,22474.205,31687.9608,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,103.7836667743232,1.3028486840208244,0.003356961375268162,382,Excellent,11,Zone 12,14.29,0.0,,,
AR2L,BLK 26 AND 27 DOVER CRESCENT,22194.6359,32026.8288,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,103.78115465517361,1.3059132344622109,142.55183687063086,1763,Good,11,Zone 12,7.25,0.0,216.5,1763.0,"[(1.3056389, 103.7806773), (1.3040331, 103.7817794)]"
AR2M,BLK 28 DOVER CRESCENT,22252.486,31896.9749,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N,103.78167448932463,1.3047388928304149,0.0014274028604857273,1763,Excellent,11,Zone 12,22.86,0.0,,,
AR5M,BLK 19A DOVER CRESCENT,22562.8641,32184.9758,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,103.78446333008414,1.307343526593196,0.0044569692045165026,2410,Excellent,11,Zone 12,17.14,0.0,,,
AR7L,12 TO 14 DOVER CLOSE EAST,22688.3753,32015.1518,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,103.7855911365702,1.305807720561871,123.26850154315034,2412,Good,11,Zone 12,6.27,0.0,570.1,2074.0,"[(1.306132, 103.7859884), (1.3060228, 103.7869238), (1.306274, 103.7874313), (1.3065626, 103.7874295), (1.3066448, 103.7874517), (1.3066005, 103.787542), (1.3060543, 103.7887105), (1.305987, 103.7886227), (1.3052378, 103.7878056), (1.3051677, 103.7878832), (1.3050513, 103.787754)]"
AR7M,BLK 12A DOVER CLOSE EAST,22643.9533,31900.5591,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,103.78519200383877,1.3047713772680545,0.0025589714794858366,2412,Excellent,11,Zone 12,10.0,0.0,,,
AR9,BLK 20/22/23 DOVER CRESCENT,22448.9368,32178.436,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,103.78343964059528,1.3072843627095663,0.006118661272136764,2603,Excellent,11,Zone 12,0.0,0.0,,,
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,24649.752,29778.7266,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,103.80321526415888,1.2855825549923126,0.006386386911847528,1680,Excellent,11,Zone 12,0.0,0.0,,,
A1,BLK 215 ANG MO KIO STREET 22,28934.1777,38749.8516,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84171281191207,1.3667143987756958,0.0013292060369086676,2635,Excellent,17,Zone 18,0.0,0.0,,,
A10,BLK 201/202 ANG MO KIO STREET 22,29247.03,38962.0,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.8445240151766,1.3686329816140796,63.705554580601735,2319,Excellent,17,Zone 18,3.24,0.0,333.3,2319.0,"[(1.3692614, 103.8447645), (1.3691478, 103.8455521), (1.3691409, 103.8456547), (1.3690077, 103.8455965), (1.3688187, 103.8454969), (1.3674108, 103.8448027), (1.3673652, 103.8447713), (1.3673951, 103.844728), (1.3674357, 103.8447552)]"
A100,BLK 650 ANG MO KIO STREET 61,29033.1895,39996.3712,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,103.842602544842,1.3779874731949442,0.00579895668149008,2297,Excellent,17,Zone 18,0.0,0.0,,,
A101,BLK 651 ANG MO KIO AVENUE 9,28937.1415,40554.9338,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N,103.84173950080415,1.3830389165845827,0.0018430514222388887,920,Excellent,18,Zone 19,20.0,0.0,,,
A102,BLK 246 ANG MO KIO STREET 21,28048.8332,38931.3681,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2.15,N,103.83375737921092,1.368355983880076,104.10464240650403,1512,Good,12,Zone 13,15.3,0.0,1066.4,1818.0,"[(1.3681358, 103.8331719), (1.3675082, 103.8329622), (1.366631, 103.8356596), (1.3675497, 103.8359689), (1.3709194, 103.8351608), (1.3710464, 103.8344957)]"
A11,BLK 223/226/226A-226D ANG MO KIO STREET 22,28541.14,38785.36,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.8381810968511,1.3670355338571134,0.003774358581849928,295,Excellent,12,Zone 13,0.0,0.0,,,
A12,BLK 229/230 ANG MO KIO STREET 22,28605.489,38954.8,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.83875932066391,1.3685678874797558,0.002681869936027698,831,Excellent,12,Zone 13,0.0,0.0,,,
A13,BLK 232/233 ANG MO KIO STREET 22,28388.51,38892.03,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.83680961188561,1.3680002216512899,8.251191754272583,994,Excellent,12,Zone 13,0.42,0.0,,,
A15,BLK 226E-226H ANG MO KIO STREET 22,28790.02,38777.85,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84041745596973,1.3669676105068467,0.005024584841403827,878,Excellent,17,Zone 18,0.0,0.0,,,
A2,BLK 206/207 ANG MO KIO STREET 22,29082.59,38697.07,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84304639719952,1.3662370557741221,0.004918904626014745,252,Excellent,17,Zone 18,0.0,0.0,,,
A20,BLK 304/307/319 ANG MO KIO STREET 31,29684.7366,38554.0251,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.84845709182149,1.3649433806415425,0.002332685597082676,317,Excellent,17,Zone 18,0.0,0.0,,,
A21,BLK 325/326/301 ANG MO KIO STREET 31,29446.1477,38906.1139,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.8463132241709,1.3681275586189163,177.29085681744115,143,Good,17,Zone 18,9.02,0.0,,,
A23,BLK 347A ANG MO KIO AVENUE 3,29735.5099,38818.5301,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,103.8489133401168,1.3673354664536144,0.0058046915692973045,838,Excellent,17,Zone 18,14.29,0.0,,,
A24,BLK 338/340 ANG MO KIO STREET 32,29789.41,38533.02,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84939765277373,1.3647534118811007,0.005405461486857689,862,Excellent,17,Zone 18,0.0,0.0,,,
A25,BLK 330/337 ANG MO KIO AVENUE 8,30037.566,38313.6296,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.85162748927652,1.3627693074285172,46.78559892114152,1000,Excellent,17,Zone 18,2.38,0.0,,,
A26,BLK 113/114/118 ANG MO KIO AVENUE 4,28236.93,39419.47,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.83544756414679,1.3727702022189985,0.003987320630077165,2273,Excellent,12,Zone 13,0.0,0.0,,,
A27,BLK 108/109/110 ANG MO KIO STREET 11,28556.67,39153.3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,103.8383206515405,1.3703630515467693,0.0076065688897265435,145,Excellent,12,Zone 13,0.0,0.0,,,
A28,BLK 103/105/107 ANG MO KIO STREET 11,28461.3669,39295.5961,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.83746428814854,1.3716499282813763,0.003403726327856782,2298,Excellent,12,Zone 13,0.0,0.0,,,
A29,BLK 347 ANG MO KIO AVENUE 3,29713.5035,38806.4544,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84871559664501,1.3672262594201823,25.072273711752885,838,Excellent,17,Zone 18,1.28,0.0,801.0,1511.0,"[(1.3659597, 103.8500904), (1.3659614, 103.8501693), (1.3662938, 103.8512236), (1.3689342, 103.8497029), (1.368864, 103.8467876)]"
A30,BLK 129/134 ANG MO KIO STREET 12,29012.7631,39222.5981,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.84241897219825,1.3709897466881407,72.63934851934393,2302,Excellent,17,Zone 18,3.7,0.0,,,
A30A,BLK 133 ANG MO KIO STREET 12,29049.6606,39137.3556,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,103.84275051934156,1.3702188426869566,108.48892047665375,105,Good,17,Zone 18,5.52,0.0,55.8,105.0,"[(1.3694659, 103.8427437), (1.3693978, 103.8432412)]"
A31,BLK 119/128 ANG MO KIO STREET 12,29155.32,39163.04,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.84369994453257,1.3704511192782494,0.00538641800514645,105,Excellent,17,Zone 18,0.0,0.0,,,
A31A,BLK 125/126 ANG MO KIO STREET 12,29150.6699,39318.7539,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,103.84365816613547,1.3718593403230517,0.005844921537209018,2700,Excellent,17,Zone 18,0.0,0.0,,,
A33,BLK 253/254 ANG MO KIO STREET 21,28152.8391,39115.4784,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,103.83469194577,1.3700210113414353,0.005234120003158851,278,Excellent,12,Zone 13,0.0,0.0,,,
A34,BLK 422/425 ANG MO KIO STREET 42,30042.0,38931.43,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85166737410135,1.368356473219034,0.004135341990085086,855,Excellent,17,Zone 18,0.0,0.0,,,
A35,BLK 426/428/435 ANG MO KIO STREET 43,30310.66,38963.49,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.85408147411323,1.3686463926053345,0.002988367205171539,152,Excellent,17,Zone 18,0.0,0.0,,,
A36,BLK 436/443/445 ANG MO KIO STREET 43,30443.9088,38715.8847,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.85527878732958,1.3664071280973518,0.0034212507155246537,253,Excellent,17,Zone 18,0.0,0.0,,,
A37,BLK 446/449/453 ANG MO KIO STREET 43,30474.8188,38904.5192,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.85555655070138,1.3681130684869152,0.006494617946365421,879,Excellent,17,Zone 18,0.0,0.0,,,
A38,BLK 407/410/421 ANG MO KIO AVENUE 10,30367.0774,38445.7028,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.85458838271062,1.3639637058040284,0.002024371691533884,102,Excellent,17,Zone 18,0.0,0.0,,,
A39,BLK 401/405 ANG MO KIO AVENUE 10,30309.63,38134.69,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85407215463408,1.361151021658679,0.005580072023415298,830,Excellent,17,Zone 18,0.0,0.0,,,
A4,BLK 217/220 ANG MO KIO AVENUE 1,28876.2363,38636.7578,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.84119216501767,1.365691620587143,0.004505551729712183,120,Excellent,17,Zone 18,0.0,0.0,,,
A40,BLK 471/476 ANG MO KIO STREET 44,30633.47,38267.95,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,103.8569820859847,1.3623561505378592,0.005706449420718535,119,Excellent,17,Zone 18,0.0,0.0,,,
A41,BLK 466/470 ANG MO KIO STREET 44,30627.96,38553.32,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85693260004962,1.364936935305799,0.0039189475546781045,921,Excellent,17,Zone 18,0.0,0.0,,,
A42,BLK 461/465 ANG MO KIO STREET 44,30675.9559,38735.0223,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85736389239304,1.3665801816289644,0.0022070885090279195,1065,Excellent,17,Zone 18,0.0,0.0,,,
A43,BLK 457/458/460 ANG MO KIO STREET 44,30887.78,38670.51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85926727197639,1.3659967355493308,49.05194562195923,976,Excellent,17,Zone 18,2.5,0.0,,,
A44,BLK 459/456 ANG MO KIO STREET 44,30856.9781,38804.1956,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.8589905085286,1.367205743273234,37.19055944653518,977,Excellent,17,Zone 18,1.89,0.0,,,
A45,BLK 570/578 ANG MO KIO STREET 51,30438.53,39214.64,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85523049600965,1.370917693067466,0.0008878815577811764,261,Excellent,17,Zone 18,0.0,0.0,,,
A47,BLK 562/565/560 ANG MO KIO STREET 54,30885.475,39174.8899,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85924660891077,1.3705581670513376,0.0037886887163382605,832,Excellent,17,Zone 18,0.0,0.0,,,
A48,BLK 571/73 ANG MO KIO STREET 51,30374.18,39154.22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85465226092984,1.370371281457812,0.004800400348966311,2733,Excellent,17,Zone 18,0.0,0.0,,,
A49,BLK 555/559 ANG MO KIO STREET 54,30724.16,39260.19,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.85779708766381,1.3713296059549298,0.001520508387818237,2699,Excellent,17,Zone 18,0.0,0.0,,,
A50,BLK 548/552/556 ANG MO KIO STREET 54,30703.29,39392.09,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.85760956795286,1.3725224642422473,0.005329891367827422,277,Excellent,17,Zone 18,0.0,0.0,,,
A51,BLK 252/253A ANG MO KIO STREET 21,28117.6053,39054.6321,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,5.4,N,103.83437534502293,1.3694707392934409,67.14487690494238,1512,Excellent,12,Zone 13,3.42,0.0,,,
A52,BLK 701/716 ANG MO KIO AVENUE 3/6,29513.9566,39155.7785,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.84692254711774,1.3703854326512568,0.006363104152738112,263,Excellent,17,Zone 18,0.0,0.0,,,
A52L,BLK 700B/ 700C ANG MO KIO AVENUE 3/6,29426.2389,39033.615,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N,103.84613433583942,1.369280633982194,97.73005441156181,961,Excellent,17,Zone 18,4.97,0.0,93.1,961.0,"[(1.3690926, 103.8459755), (1.3689874, 103.8468064)]"
A53,BLK 712A ANG MO KIO AVENUE 3/6,29508.9218,39208.8091,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.8,N,103.84687730858236,1.3708650227001158,0.002693785417782833,849,Excellent,17,Zone 18,20.0,0.0,,,
A54,BLK 727/728 ANG MO KIO AVENUE 6,29401.8671,39382.3378,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.8459153545853,1.3724343595097768,0.006753647776293204,2394,Excellent,17,Zone 18,0.0,0.0,,,
A55,BLK 729/730 ANG MO KIO AVENUE 6/8,29464.1325,39466.0892,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84647485774163,1.3731917741948454,104.51748657670153,2394,Good,17,Zone 18,5.32,0.0,,,
A56,BLK 725/730 ANG MO KIO AVENUE 8,29538.847,39411.5653,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84714621818317,1.3726986757337116,78.03816860142513,275,Excellent,17,Zone 18,3.97,0.0,,,
A57,BLK 720/723 ANG MO KIO AVENUE 8,29518.5871,39336.4776,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84696416467047,1.3720196104757487,0.004090342234570182,275,Excellent,17,Zone 18,0.0,0.0,,,
A58,BLK 721/722 ANG MO KIO AVENUE 8,29603.16,39372.68,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84772411430865,1.3723470075573316,91.84641090031747,275,Excellent,17,Zone 18,4.67,0.0,,,
A59,BLK 547/551 ANG MO KIO STREET 54,30762.295,39543.9937,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N,103.85813978410101,1.3738962214127315,0.0029603576704241184,912,Excellent,17,Zone 18,0.0,0.0,,,
A60,BLK 540/546 ANG MO KIO STREET 54,30514.5273,39606.8281,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.85591341875042,1.3744644954379837,0.002142012336124428,290,Excellent,17,Zone 18,0.0,0.0,,,
A61,BLK 520/534/529 ANG MO KIO AVENUE 5/10,30096.82,39574.31,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,103.8521600154717,1.3741704461236193,223.50081384110922,1812,Good,17,Zone 18,11.37,0.0,42.1,1812.0,"[(1.3730561, 103.8507644), (1.3727093, 103.850613)]"
A63,BLK 501/513/508 ANG MO KIO STREET 52/53,29789.5613,39690.0448,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,103.84939908200639,1.3752171305295215,0.0039335709819529165,259,Excellent,17,Zone 18,0.0,0.0,,,
