car_park_no,address,x_coord,y_coord,longitude,latitude,nearest_charger_distance_m,high_gap_area
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,103.85411804993062,1.3010632720874966,0.006349524671237029,False
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,103.88506094761496,1.3210042901059609,0.0053981578026199885,False
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,103.84461988914568,1.328283495109407,0.00132147914332094,False
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,103.83498485034055,1.36909121614356,55.27886378011542,False
AK31,BLK 302/348 ANG MO KIO STREET 31,29482.029,38684.1754,103.84663563161574,1.3661204243173295,169.19357089406782,False
AK52,BLK 513 ANG MO KIO STREET 53,29889.3457,39382.8134,103.85029569742481,1.3724386334422467,112.92652809991837,False
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,103.8483680866534,1.3835990576551445,363.0344004877253,False
AM14,BLK 227 ANG MO KIO STREET 23,28777.0707,38973.9528,103.84030110265202,1.3687410945550118,0.0006722704998192838,False
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,103.83571828515677,1.3703498012136124,0.0016530957618132531,False
AM18,BLK 308C ANG MO KIO AVENUE 1,29257.6457,38619.9953,103.84461939021914,1.3655400127862634,187.98262796476462,False
AM19,BLK 260 ANG MO KIO STREET 21,28134.9305,38989.9965,103.83453102382205,1.3688861979339544,0.002654174069193507,False
AM20,BLK 309B ANG MO KIO STREET 31,29421.1502,38526.8611,103.84608858611757,1.3646977329371188,0.003967494030447277,False
AM22,BLK 316B ANG MO KIO STREET 31,29595.2539,38514.7606,103.84765302635225,1.3645882914751264,0.003074348841782455,False
AM32,BLK 255A ANG MO KIO STREET 21,28117.7689,39172.0389,103.8343768155432,1.3705325244610713,34.645110184378986,False
AM43,BLK 455 ANG MO KIO STREET 44,30669.2379,38959.5487,103.85730354666741,1.3686107186719942,0.005579326943636757,False
AM46,BLK 588 ANG MO KIO STREET 52,30234.4145,39354.0323,103.85339638441604,1.3721783233234015,0.0031136252971413294,False
AM51,BLK 700 ANG MO KIO AVENUE 6,29489.025,39103.7605,103.84669851649676,1.369915001718853,4.497566258026674,False
AM64,BLK 590 ANG MO KIO STREET 51,30201.236,39274.274,103.85309824605719,1.3714570202946914,0.005586662575012936,False
AM79,BLK 596 ANG MO KIO STREET 52,30004.2224,39370.6063,103.85132794564834,1.3723282292064236,0.0060153250966300175,False
AM80,BLK 130A ANG MO KIO STREET 12,28950.7223,39184.6976,103.84186149048261,1.3706469901715583,0.001518627528069786,False
AM81,BLK 132A ANG MO KIO STREET 12,28960.3285,39294.4158,103.84194781252401,1.3716392420558656,7.651292733727296,False
AM96,BLK 352A ANG MO KIO STREET 32,29961.0968,38457.9118,103.85094037122862,1.3640741492788215,0.0063340014446048145,False
AR1L,3 AND 5 DOVER ROAD,22359.0217,31801.6379,103.78263177920336,1.3038767185244577,143.00231151368,False
AR1M,BLK 2A DOVER ROAD,22474.205,31687.9608,103.7836667743232,1.3028486840208244,0.003356961375268162,False
AR2L,BLK 26 AND 27 DOVER CRESCENT,22194.6359,32026.8288,103.78115465517361,1.3059132344622109,142.55183687063086,False
AR2M,BLK 28 DOVER CRESCENT,22252.486,31896.9749,103.78167448932463,1.3047388928304149,0.0014274028604857273,False
AR5M,BLK 19A DOVER CRESCENT,22562.8641,32184.9758,103.78446333008414,1.307343526593196,0.0044569692045165026,False
